,Unnamed: 0,year,rank,title,wikilink,network,rating,show_id,genre_id,genre,overview,camera,ai_guess,groundtruth
402,831,1977,12,Eight Is Enough,//en.wikipedia.org/wiki/Eight_Is_Enough,ABC,22.2,4382,"18,35",comedy,"Eight Is Enough is an American television comedy-drama series that ran on ABC from March 15, 1977, until August 29, 1981. The show was modeled after syndicated newspaper columnist Thomas Braden, a real-life parent with eight children, who wrote a book with the same name.",Single-camera,studio_audience,canned_laugh_track
556,1134,1987,12,Moonlighting,//en.wikipedia.org/wiki/Moonlighting_(TV_series),ABC,18.3,1998,"35,18,9648,80",comedy,"After being duped and going bankrupt, model Maddie is convinced by David to become a partner in a detective agency. Together they solve various cases, while getting comfortable with each other.",Unknown,studio_audience,no_added_laughter
818,1752,2007,15,Two and a Half Men,//en.wikipedia.org/wiki/Two_and_a_Half_Men,CBS,8.5,2691,35,comedy,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,Multi-camera,studio_audience,studio_audience
208,442,1964,17,Lassie,//en.wikipedia.org/wiki/Lassie_(1954_TV_series),CBS,25.1,5368,"10759,18,10751,35",comedy,"Lassie is the pet of Jeff Miller, an 11-year-old farm boy. The two become best friends and enjoy family adventures in the American countryside, teaching each other about love, nature and commitment.",Unknown,unknown,no_added_laughter
829,1846,2010,16,Two and a Half Men,//en.wikipedia.org/wiki/Two_and_a_Half_Men,CBS,7.7,2691,35,comedy,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,Multi-camera,canned_laugh_track,studio_audience
136,308,1960,5,The Real McCoys,//en.wikipedia.org/wiki/The_Real_McCoys,ABC,27.7,10458,35,comedy,"The Real McCoys is an American situation comedy co-produced by Danny Thomas' ""Marterto Productions"", in association with Walter Brennan and Irving Pincus' ""Westgate"" company. The series aired for five seasons on the ABC-TV network from 1957 through 1962 and then for its final year on CBS from 1962 to 1963.

The series, set in the San Fernando Valley of California, was filmed in Hollywood at Desilu studios.",Single-camera,studio_audience,canned_laugh_track
147,337,1961,4,Hazel,//en.wikipedia.org/wiki/Hazel_(TV_series),NBC,27.7,10492,35,comedy,"Hazel is an American sitcom about a fictional live-in maid named Hazel Burke and her employers, the Baxters. The five-season, 154-episode series aired in primetime from September 28, 1961 until April 11, 1966 and was produced by Screen Gems. The show aired on NBC for its first four seasons, and then on CBS for its final season. The first season, except for one color episode was in black and white, the remainder in color.

The show was based on the popular single-panel comic strip by cartoonist Ted Key, which appeared in the Saturday Evening Post.",Unknown,studio_audience,canned_laugh_track
200,429,1964,4,The Andy Griffith Show,//en.wikipedia.org/wiki/The_Andy_Griffith_Show,CBS,28.3,106,"3,510,751",comedy,"The Andy Griffith Show is an American sitcom first televised on CBS between October 3, 1960 and April 1, 1968. Andy Griffith portrays the widowed sheriff of the fictional small community of Mayberry, North Carolina. His life is complicated by an inept, but well-meaning deputy, Barney Fife, a spinster aunt and housekeeper, Aunt Bee, and a precocious young son, Opie. Local ne'er-do-wells, bumbling pals, and temperamental girlfriends further complicate his life. Andy Griffith stated in a Today Show interview, with respect to the time period of the show: ""Well, though we never said it, and though it was shot in the '60s, it had a feeling of the '30s. It was when we were doing it, of a time gone by.""

The series never placed lower than seventh in the Nielsen ratings and ended its final season at number one. It has been ranked by TV Guide as the 9th-best show in American television history. Though neither Griffith nor the show won awards during its eight-season run, series co-stars Knotts and Bavier accumulated a combined total of six Emmy Awards. The show, a semi-spin-off from an episode of The Danny Thomas Show titled ""Danny Meets Andy Griffith"", spawned its own spin-off series, Gomer Pyle, U.S.M.C., a sequel series, Mayberry R.F.D., and a reunion telemovie, Return to Mayberry. The show's enduring popularity has generated a good deal of show-related merchandise. Reruns currently air on TV Land, and the complete series is available on DVD. All eight seasons are also now available by streaming video services such as Netflix.",Single-camera,studio_audience,studio_audience
794,1609,2002,25,The King of Queens,//en.wikipedia.org/wiki/The_King_of_Queens,CBS,8.5,4238,35,comedy,"Life’s good for deliveryman Doug Heffernan, until his newly widowed father-in-law, Arthur, moves in with him and his wife Carrie. Doug is no longer the king of his domain, and instead of having a big screen television in his recently renovated basement, he now has a crazy old man.",Multi-camera,studio_audience,studio_audience
799,1627,2003,13,Will & Grace,//en.wikipedia.org/wiki/Will_&_Grace,NBC,10.4,4454,35,comedy,"Will Truman and Grace Adler are best friends living in New York, and when Grace's engagement falls apart, she moves in with Will. Together, along with their friends, they go through the trials of dating, sex, relationships and their careers, butting heads at times but ultimately supporting one another while exchanging plenty of witty banter along the way.",Multi-camera,studio_audience,studio_audience
174,392,1962,28,My Three Sons,//en.wikipedia.org/wiki/My_Three_Sons,ABC,21,1530,"3,510,751",comedy,"A widower and aeronautical engineer named Steven Douglas raises three sons with the help of his father-in-law, and later the boys' great-uncle. An adopted son, a stepdaughter, wives, and another generation of sons join the loving family in later seasons.",Unknown,studio_audience,canned_laugh_track
835,1868,2011,8,The Big Bang Theory,//en.wikipedia.org/wiki/The_Big_Bang_Theory,CBS,9.7,1418,35,comedy,Physicists Leonard and Sheldon find their nerd-centric social circle with pals Howard and Raj expanding when aspiring actress Penny moves in next door.,Multi-camera,studio_audience,studio_audience
425,868,1978,19,Soap,//en.wikipedia.org/wiki/Soap_(TV_series),ABC,21.3,3295,"35,10766,18",comedy,"The antics of a wealthy family, the Tates, and a working-class family, the Campbells, in the fictional town of Dunn's River, Connecticut.",Unknown,studio_audience,studio_audience
900,2250,2023,26,So Help Me Todd,//en.wikipedia.org/wiki/So_Help_Me_Todd,CBS,6.18,202307,"18,9648,35",comedy,"Despite their opposing personalities, a talented but directionless P.I. who is the black sheep of his family begrudgingly agrees to work as the in-house investigator for his overbearing mother, a successful attorney reeling from the recent dissolution of her marriage.",Unknown,studio_audience,no_added_laughter
54,118,1953,28,What's My Line?,//en.wikipedia.org/wiki/What's_My_Line%3F,CBS,29.6,26663,"10751,35",comedy,"Four panelists must determine guests' occupations - and, in the case of famous guests, while blindfolded, their identity - by asking only ""yes"" or ""no"" questions.",Unknown,studio_audience,studio_audience
230,477,1965,22,Gilligan's Island,//en.wikipedia.org/wiki/Gilligan's_Island,CBS,22.1,1921,"3,510,751",comedy,"The slapstick adventures of hapless Gilligan, long-suffering Skipper and their gang of mismatched castaways, all stranded on an uncharted desert isle after their tiny ship hit stormy weather.",Single-camera,studio_audience,canned_laugh_track
345,726,1973,27,The Carol Burnett Show,//en.wikipedia.org/wiki/The_Carol_Burnett_Show,CBS,20.1,1027,"3,510,751",comedy,"The Carol Burnett Show is an American variety/sketch comedy television show starring Carol Burnett, Harvey Korman, Vicki Lawrence, Lyle Waggoner, and Tim Conway. It originally ran on CBS from September 11, 1967, to March 29, 1978, for 278 episodes and originated from CBS Television City's Studio 33. The series won 25 prime time Emmy Awards, was ranked No. 16 on TV Guide's 50 Greatest TV Shows of All Time in 2002 and in 2007 was listed as one of Time magazine's ""100 Best TV Shows of All Time.""",Multi-camera,studio_audience,studio_audience
201,431,1964,6,The Red Skelton Hour,//en.wikipedia.org/wiki/The_Red_Skelton_Show,CBS,27.4,10534,"351,076,710,751",comedy,"The Red Skelton Show is an American variety show that was a television staple for two decades, from 1951 to 1971. It was second to Gunsmoke and third to The Ed Sullivan Show in the ratings during that time. Skelton, who had previously been a radio star, had appeared in several motion pictures as well. Although his television series is largely associated with CBS, where it appeared for more than fifteen years, it actually began and ended on NBC. During its run, the program received three Emmy Awards, for Skelton as best comedian and the program as best comedy show during its initial season, and an award for comedy writing in 1961.",Unknown,studio_audience,studio_audience
